variant,split,mean_success,ci95_success,mean_tail_risk,ci95_tail_risk,mean_calibration_error,seeds,episodes_per_seed
observed_only_behavior_clone,nominal,0.5864,0.0193,0.4136,0.0193,0.0206,7,600
observed_only_behavior_clone,hidden_mode_shift,0.3981,0.0240,0.6019,0.0240,0.0206,7,600
observed_only_behavior_clone,embodiment_shift,0.4440,0.0151,0.5560,0.0151,0.0174,7,600
observed_only_behavior_clone,combined_stress,0.3143,0.0094,0.6857,0.0094,0.0098,7,600
data_augmentation_wam,nominal,0.6488,0.0175,0.3512,0.0175,0.0193,7,600
data_augmentation_wam,hidden_mode_shift,0.4936,0.0124,0.5064,0.0124,0.0111,7,600
data_augmentation_wam,embodiment_shift,0.5086,0.0228,0.4914,0.0228,0.0249,7,600
data_augmentation_wam,combined_stress,0.4176,0.0122,0.5824,0.0122,0.0096,7,600
scalar_uncertainty_planner,nominal,0.6821,0.0208,0.3179,0.0208,0.0236,7,600
scalar_uncertainty_planner,hidden_mode_shift,0.5536,0.0082,0.4464,0.0082,0.0101,7,600
scalar_uncertainty_planner,embodiment_shift,0.5828,0.0214,0.4172,0.0214,0.0193,7,600
scalar_uncertainty_planner,combined_stress,0.4933,0.0106,0.5067,0.0106,0.0118,7,600
ensemble_disagreement_planner,nominal,0.7026,0.0185,0.2974,0.0185,0.0203,7,600
ensemble_disagreement_planner,hidden_mode_shift,0.5953,0.0149,0.4047,0.0149,0.0166,7,600
ensemble_disagreement_planner,embodiment_shift,0.6193,0.0139,0.3807,0.0139,0.0140,7,600
ensemble_disagreement_planner,combined_stress,0.5450,0.0115,0.4550,0.0115,0.0156,7,600
conformal_risk_filter,nominal,0.7136,0.0239,0.2864,0.0239,0.0253,7,600
conformal_risk_filter,hidden_mode_shift,0.6143,0.0109,0.3857,0.0109,0.0100,7,600
conformal_risk_filter,embodiment_shift,0.6362,0.0215,0.3638,0.0215,0.0233,7,600
conformal_risk_filter,combined_stress,0.5650,0.0066,0.4350,0.0066,0.0055,7,600
proposed_branch_mechanism,nominal,0.7471,0.0082,0.2529,0.0082,0.0107,7,600
proposed_branch_mechanism,hidden_mode_shift,0.6938,0.0135,0.3062,0.0135,0.0170,7,600
proposed_branch_mechanism,embodiment_shift,0.6974,0.0184,0.3026,0.0184,0.0174,7,600
proposed_branch_mechanism,combined_stress,0.6505,0.0196,0.3495,0.0196,0.0243,7,600
oracle_branch_upper_bound,nominal,0.7988,0.0062,0.2012,0.0062,0.0084,7,600
oracle_branch_upper_bound,hidden_mode_shift,0.7698,0.0103,0.2302,0.0103,0.0125,7,600
oracle_branch_upper_bound,embodiment_shift,0.7738,0.0167,0.2262,0.0167,0.0146,7,600
oracle_branch_upper_bound,combined_stress,0.7286,0.0213,0.2714,0.0213,0.0247,7,600
