split,method,seed,rows,mask_f1,precision,recall,occluded_recall,passive_false_attribution,effect_error,target_success,unsafe_contact,brier,calibration_error
articulated_coupling,flow_magnitude_threshold,0,42,0.64333,0.50291,0.89918,0.00000,0.56553,0.54653,0.42857,0.14286,0.15216,0.25383
articulated_coupling,flow_magnitude_threshold,1,42,0.65928,0.52035,0.90584,0.03175,0.57135,0.56797,0.33333,0.19048,0.15118,0.24380
articulated_coupling,flow_magnitude_threshold,2,42,0.64308,0.50035,0.90463,0.00000,0.56642,0.58475,0.47619,0.19048,0.15398,0.25325
articulated_coupling,flow_magnitude_threshold,3,42,0.65176,0.51018,0.90739,0.03571,0.56670,0.54772,0.42857,0.14286,0.15186,0.24948
articulated_coupling,flow_magnitude_threshold,4,42,0.65937,0.52162,0.90194,0.01190,0.57553,0.52231,0.50000,0.21429,0.15215,0.24241
articulated_coupling,flow_magnitude_threshold,5,42,0.66556,0.52697,0.90690,0.03175,0.59413,0.56591,0.52381,0.19048,0.14919,0.24048
articulated_coupling,flow_magnitude_threshold,6,42,0.66202,0.52497,0.90112,0.02381,0.56432,0.51895,0.61905,0.38095,0.14990,0.24401
articulated_coupling,action_direction_projection,0,42,0.76934,0.65923,0.97865,0.78968,0.40103,0.32199,0.71429,0.21429,0.15108,0.29770
articulated_coupling,action_direction_projection,1,42,0.80033,0.70123,0.98182,0.81746,0.36698,0.29725,0.71429,0.19048,0.13899,0.27444
articulated_coupling,action_direction_projection,2,42,0.78781,0.68718,0.98375,0.82540,0.37954,0.29830,0.50000,0.21429,0.14215,0.28148
articulated_coupling,action_direction_projection,3,42,0.75872,0.63840,0.98387,0.83333,0.41947,0.32965,0.57143,0.19048,0.15099,0.29280
articulated_coupling,action_direction_projection,4,42,0.74783,0.62440,0.98559,0.85714,0.48308,0.35161,0.47619,0.23810,0.15222,0.28977
articulated_coupling,action_direction_projection,5,42,0.80499,0.70359,0.98431,0.84524,0.37085,0.28784,0.57143,0.09524,0.13998,0.27352
articulated_coupling,action_direction_projection,6,42,0.77482,0.66907,0.98401,0.84127,0.43852,0.30143,0.54762,0.11905,0.15133,0.28842
articulated_coupling,rigid_scene_flow_cluster,0,42,0.84653,0.73788,1.00000,1.00000,0.22534,0.31013,0.71429,0.14286,0.10264,0.22207
articulated_coupling,rigid_scene_flow_cluster,1,42,0.85182,0.74579,1.00000,1.00000,0.23256,0.31470,0.66667,0.09524,0.10153,0.21496
articulated_coupling,rigid_scene_flow_cluster,2,42,0.83861,0.72406,1.00000,1.00000,0.23984,0.32526,0.80952,0.14286,0.10382,0.22279
articulated_coupling,rigid_scene_flow_cluster,3,42,0.85262,0.74511,1.00000,1.00000,0.22331,0.29074,0.73810,0.07143,0.10266,0.21989
articulated_coupling,rigid_scene_flow_cluster,4,42,0.85591,0.75021,1.00000,1.00000,0.23203,0.29714,0.76190,0.16667,0.10192,0.21394
articulated_coupling,rigid_scene_flow_cluster,5,42,0.86551,0.76544,1.00000,1.00000,0.22330,0.28983,0.59524,0.04762,0.09844,0.20993
articulated_coupling,rigid_scene_flow_cluster,6,42,0.85491,0.74949,1.00000,1.00000,0.23044,0.29452,0.90476,0.09524,0.09991,0.21397
articulated_coupling,temporal_difference_mask,0,42,0.65026,0.50646,0.92801,0.29762,0.59301,0.53814,0.35714,0.19048,0.16511,0.28990
articulated_coupling,temporal_difference_mask,1,42,0.64264,0.49925,0.92337,0.21032,0.62139,0.59945,0.40476,0.16667,0.17122,0.28627
articulated_coupling,temporal_difference_mask,2,42,0.63844,0.49492,0.92712,0.22619,0.61326,0.59292,0.42857,0.23810,0.17146,0.29590
articulated_coupling,temporal_difference_mask,3,42,0.64557,0.49876,0.93163,0.28571,0.61144,0.56990,0.35714,0.19048,0.16825,0.28884
articulated_coupling,temporal_difference_mask,4,42,0.65294,0.50871,0.92803,0.28571,0.60469,0.54252,0.30952,0.35714,0.16898,0.28329
articulated_coupling,temporal_difference_mask,5,42,0.65198,0.50671,0.92979,0.26587,0.64640,0.59245,0.40476,0.23810,0.16717,0.28136
articulated_coupling,temporal_difference_mask,6,42,0.65401,0.51290,0.91586,0.17063,0.59198,0.54168,0.40476,0.21429,0.16448,0.28038
articulated_coupling,noncausal_flow_transformer_proxy,0,42,0.89235,0.81360,0.99664,0.96429,0.15222,0.24269,0.76190,0.02381,0.11186,0.20087
articulated_coupling,noncausal_flow_transformer_proxy,1,42,0.87881,0.79084,0.99619,0.96032,0.18332,0.27101,0.76190,0.16667,0.11410,0.19715
articulated_coupling,noncausal_flow_transformer_proxy,2,42,0.86766,0.77369,0.99487,0.94444,0.18973,0.27659,0.69048,0.14286,0.11654,0.20877
articulated_coupling,noncausal_flow_transformer_proxy,3,42,0.87886,0.79027,0.99764,0.97619,0.17799,0.25262,0.66667,0.04762,0.11075,0.19903
articulated_coupling,noncausal_flow_transformer_proxy,4,42,0.87863,0.79264,0.99287,0.93254,0.18381,0.25446,0.57143,0.09524,0.11456,0.19607
articulated_coupling,noncausal_flow_transformer_proxy,5,42,0.88974,0.80440,1.00000,1.00000,0.18029,0.24858,0.76190,0.07143,0.11103,0.19229
articulated_coupling,noncausal_flow_transformer_proxy,6,42,0.87829,0.79147,0.99383,0.93651,0.18443,0.25481,0.73810,0.11905,0.11217,0.19646
articulated_coupling,learned_correlation_classifier,0,42,0.93365,0.88414,0.99868,0.98810,0.09444,0.17664,0.76190,0.04762,0.09134,0.18904
articulated_coupling,learned_correlation_classifier,1,42,0.91719,0.85334,1.00000,1.00000,0.13148,0.20400,0.71429,0.09524,0.09190,0.18429
articulated_coupling,learned_correlation_classifier,2,42,0.90970,0.84151,1.00000,1.00000,0.12991,0.20608,0.78571,0.09524,0.09372,0.19304
articulated_coupling,learned_correlation_classifier,3,42,0.89911,0.82530,1.00000,1.00000,0.14982,0.21246,0.78571,0.11905,0.09308,0.18878
articulated_coupling,learned_correlation_classifier,4,42,0.91058,0.84292,0.99896,0.98810,0.14163,0.20407,0.69048,0.07143,0.09426,0.18482
articulated_coupling,learned_correlation_classifier,5,42,0.91801,0.85402,1.00000,1.00000,0.13363,0.19582,0.66667,0.09524,0.08972,0.17887
articulated_coupling,learned_correlation_classifier,6,42,0.91723,0.85511,0.99881,0.98810,0.12803,0.19151,0.80952,0.09524,0.09294,0.18565
articulated_coupling,causal_scene_flow_model,0,42,0.90425,0.84310,0.99413,0.94048,0.14303,0.29064,0.76190,0.09524,0.06644,0.15132
articulated_coupling,causal_scene_flow_model,1,42,0.85741,0.76154,0.99701,0.96429,0.23602,0.31820,0.64286,0.09524,0.07361,0.16380
articulated_coupling,causal_scene_flow_model,2,42,0.85791,0.76485,0.99868,0.98810,0.21968,0.30734,0.59524,0.04762,0.07557,0.17345
articulated_coupling,causal_scene_flow_model,3,42,0.86380,0.77618,0.99806,0.97619,0.21276,0.33668,0.80952,0.16667,0.06974,0.15773
articulated_coupling,causal_scene_flow_model,4,42,0.86064,0.76719,0.99813,0.98016,0.23461,0.32984,0.73810,0.09524,0.07506,0.16183
articulated_coupling,causal_scene_flow_model,5,42,0.88450,0.80344,1.00000,1.00000,0.19958,0.28663,0.80952,0.09524,0.06843,0.15422
articulated_coupling,causal_scene_flow_model,6,42,0.88377,0.80526,0.99566,0.96032,0.18466,0.28796,0.76190,0.09524,0.07089,0.15570
articulated_coupling,oracle_causal_mask,0,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.97619,0.00000,0.00003,0.00268
articulated_coupling,oracle_causal_mask,1,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.97619,0.00000,0.00003,0.00251
articulated_coupling,oracle_causal_mask,2,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.97619,0.02381,0.00003,0.00268
articulated_coupling,oracle_causal_mask,3,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.97619,0.02381,0.00003,0.00261
articulated_coupling,oracle_causal_mask,4,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.92857,0.02381,0.00003,0.00250
articulated_coupling,oracle_causal_mask,5,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,1.00000,0.02381,0.00003,0.00247
articulated_coupling,oracle_causal_mask,6,42,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,0.97619,0.00000,0.00003,0.00257
clean_contact,flow_magnitude_threshold,0,42,0.97865,1.00000,0.95826,0.04762,0.00000,0.02811,0.92857,0.04762,0.09106,0.19969
clean_contact,flow_magnitude_threshold,1,42,0.97809,0.99821,0.95888,0.04762,0.00170,0.03122,0.88095,0.04762,0.09125,0.19900
clean_contact,flow_magnitude_threshold,2,42,0.97709,1.00000,0.95529,0.02381,0.00000,0.02925,0.83333,0.00000,0.09215,0.20013
clean_contact,flow_magnitude_threshold,3,42,0.97755,0.99915,0.95694,0.02381,0.00072,0.03187,0.88095,0.04762,0.09365,0.19270
clean_contact,flow_magnitude_threshold,4,42,0.97664,0.99673,0.95743,0.00000,0.00183,0.03226,0.85714,0.02381,0.09214,0.19451
clean_contact,flow_magnitude_threshold,5,42,0.97863,1.00000,0.95818,0.00000,0.00000,0.02894,0.83333,0.07143,0.09051,0.19363
clean_contact,flow_magnitude_threshold,6,42,0.97883,0.99905,0.95949,0.04762,0.00064,0.02958,0.90476,0.00000,0.09091,0.19784
clean_contact,action_direction_projection,0,42,0.89892,0.84027,0.99301,0.85714,0.16866,0.17183,0.64286,0.02381,0.12361,0.28096
clean_contact,action_direction_projection,1,42,0.89458,0.82458,0.99632,0.90476,0.18182,0.17938,0.80952,0.04762,0.12587,0.28302
clean_contact,action_direction_projection,2,42,0.89829,0.83256,0.99694,0.92857,0.17268,0.17761,0.80952,0.00000,0.12516,0.28298
clean_contact,action_direction_projection,3,42,0.85565,0.77672,0.99361,0.85714,0.25802,0.21220,0.64286,0.11905,0.13341,0.28844
clean_contact,action_direction_projection,4,42,0.86039,0.78371,0.99207,0.80952,0.24715,0.20597,0.66667,0.16667,0.13268,0.28892
clean_contact,action_direction_projection,5,42,0.89250,0.82833,0.99552,0.90476,0.18452,0.17503,0.71429,0.07143,0.12621,0.28111
clean_contact,action_direction_projection,6,42,0.85908,0.77556,0.99541,0.90476,0.25779,0.21352,0.71429,0.14286,0.13220,0.29015
clean_contact,rigid_scene_flow_cluster,0,42,0.95649,0.91773,1.00000,1.00000,0.06051,0.12066,0.80952,0.02381,0.07208,0.18390
clean_contact,rigid_scene_flow_cluster,1,42,0.95821,0.92121,1.00000,1.00000,0.05904,0.11192,0.80952,0.04762,0.07224,0.18346
clean_contact,rigid_scene_flow_cluster,2,42,0.95637,0.91784,1.00000,1.00000,0.05826,0.11735,0.85714,0.04762,0.07299,0.18578
clean_contact,rigid_scene_flow_cluster,3,42,0.95762,0.92008,1.00000,1.00000,0.05928,0.11146,0.73810,0.02381,0.07227,0.17904
clean_contact,rigid_scene_flow_cluster,4,42,0.96103,0.92617,1.00000,1.00000,0.05701,0.10437,0.88095,0.02381,0.07138,0.17919
clean_contact,rigid_scene_flow_cluster,5,42,0.96693,0.93704,1.00000,1.00000,0.04819,0.09759,0.88095,0.11905,0.07098,0.17876
clean_contact,rigid_scene_flow_cluster,6,42,0.95197,0.90998,1.00000,1.00000,0.06801,0.11641,0.90476,0.11905,0.07240,0.18291
clean_contact,temporal_difference_mask,0,42,0.97744,0.98598,0.96994,0.30952,0.01030,0.04949,0.83333,0.02381,0.10467,0.23869
