split,seed,episode_id,method,mask_f1,precision,recall,occluded_recall,passive_false_attribution,effect_error,target_success,unsafe_contact,brier,calibration_error,success_probability,unsafe_probability,passive_amp,occlusion,articulation,distractor
clean_contact,0,0,flow_magnitude_threshold,0.97143,1.00000,0.94444,0.00000,0.00000,0.03552,1,0,0.09767,0.20082,0.86990,0.04224,0.14000,0.04000,0.08000,0.08000
clean_contact,0,0,action_direction_projection,0.91892,0.89474,0.94444,0.00000,0.06061,0.09903,1,0,0.14873,0.31817,0.80983,0.05921,0.14000,0.04000,0.08000,0.08000
clean_contact,0,0,rigid_scene_flow_cluster,0.92308,0.85714,1.00000,1.00000,0.09091,0.18588,1,0,0.07669,0.19409,0.79557,0.06325,0.14000,0.04000,0.08000,0.08000
clean_contact,0,0,temporal_difference_mask,0.97143,1.00000,0.94444,0.00000,0.00000,0.03552,1,0,0.10532,0.23605,0.86990,0.04224,0.14000,0.04000,0.08000,0.08000
clean_contact,0,0,noncausal_flow_transformer_proxy,1.00000,1.00000,1.00000,1.00000,0.00000,0.05506,1,0,0.09647,0.20054,0.88795,0.03780,0.14000,0.04000,0.08000,0.08000
clean_contact,0,0,learned_correlation_classifier,1.00000,1.00000,1.00000,1.00000,0.00000,0.05506,1,0,0.08829,0.19525,0.88795,0.03780,0.14000,0.04000,0.08000,0.08000
clean_contact,0,0,causal_scene_flow_model,1.00000,1.00000,1.00000,1.00000,0.00000,0.11637,1,0,0.05171,0.13226,0.89682,0.02722,0.14000,0.04000,0.08000,0.08000
clean_contact,0,0,oracle_causal_mask,1.00000,1.00000,1.00000,1.00000,0.00000,0.00000,1,0,0.00003,0.00312,0.97345,0.00945,0.14000,0.04000,0.08000,0.08000
clean_contact,0,1,flow_magnitude_threshold,0.97436,1.00000,0.95000,0.00000,0.00000,0.02403,1,0,0.09514,0.22115,0.87310,0.04180,0.14000,0.04000,0.08000,0.08000
clean_contact,0,1,action_direction_projection,1.00000,1.00000,1.00000,1.00000,0.00000,0.05214,1,0,0.10406,0.26654,0.88824,0.03780,0.14000,0.04000,0.08000,0.08000
